10797_at,MTHFD2
10798_at,OR5I1
10799_at,RPP40
108_at,ADCY2
1080_at,CFTR
10801_at,10801_at
10802_at,SEC24A
10803_at,CCR9
10807_at,SDCCAG3
10808_at,HSPH1
1081_at,CGA
10810_at,WASF3
10813_at,UTP14A
10814_at,CPLX2
10817_at,FRS3
10818_at,FRS2
10825_at,NEU3
10826_at,C5orf4
10827_at,C5orf3
1084_at,CEACAM3
10840_at,ALDH1L1
10841_at,FTCD
10842_at,C7orf16
10844_at,TUBGCP2
10845_at,CLPX
10846_at,PDE10A
10848_at,PPP1R13L
10849_at,CD3EAP
10850_at,CCL27
10855_at,HPSE
10856_at,RUVBL2
10857_at,PGRMC1
10858_at,CYP46A1
10859_at,LILRB1
10861_at,SLC26A1
10863_at,ADAM28
10864_at,SLC22A7
10865_at,ARID5A
10866_at,HCP5
10867_at,TSPAN9
10868_at,USP20
10869_at,USP19
1087_at,CEACAM7
10871_at,CD300C
10873_at,ME3
10874_at,NMU
10875_at,FGL2
10876_at,FAM12A
10879_at,SMR3B
1088_at,CEACAM8
10880_at,ACTL7B
10881_at,ACTL7A
10882_at,C1QL1
10884_at,MRPS30
10885_at,WDR3
1089_at,CEACAM4
10891_at,PPARGC1A
10892_at,MALT1
10893_at,MMP24
10894_at,LYVE1
10896_at,OCLM
10897_at,YIF1A
10898_at,CPSF4
10899_at,JTB
109_at,ADCY3
10900_at,RUNDC3A
10902_at,BRD8
10903_at,MTMR11
10904_at,BLCAP
10905_at,MAN1A2
10906_at,TRAFD1
10907_at,TXNL4A
10908_at,PNPLA6
10911_at,UTS2
10912_at,GADD45G
10913_at,EDAR
10914_at,PAPOLA
10915_at,TCERG1
10916_at,MAGED2
10917_at,BTNL3
10919_at,EHMT2
10920_at,COPS8
10921_at,RNPS1
10922_at,FASTK
10923_at,SUB1
10924_at,SMPDL3A
10926_at,DBF4
10927_at,SPIN1
10928_at,RALBP1
10929_at,SFRS2B
10930_at,APOBEC2
10933_at,MORF4L1
10935_at,PRDX3
10936_at,GPR75
10938_at,EHD1
10939_at,AFG3L2
10941_at,UGT2A1
10942_at,PRSS21
10943_at,MSL3L1
10944_at,C11orf58
10945_at,KDELR1
10946_at,SF3A3
10947_at,AP3M2
10948_at,STARD3
10949_at,HNRNPA0
10950_at,BTG3
10951_at,CBX1
10952_at,SEC61B
10953_at,TOMM34
10954_at,PDIA5
10955_at,SERINC3
10956_at,OS9
10957_at,PNRC1
10959_at,TMED2
10960_at,LMAN2
10961_at,ERP29
10962_at,MLLT11
10963_at,STIP1
10964_at,IFI44L
10966_at,RAB40B
10969_at,EBNA1BP2
10970_at,CKAP4
10971_at,YWHAQ
10972_at,TMED10
10973_at,ASCC3
10974_at,C10orf116
10975_at,UQCR
10978_at,CLP1
10979_at,FERMT2
10980_at,COPS6
10981_at,RAB32
10982_at,MAPRE2
10983_at,CCNI
10985_at,GCN1L1
10987_at,COPS5
10988_at,METAP2
10989_at,IMMT
10990_at,LILRB5
10991_at,SLC38A3
10992_at,SF3B2
10993_at,SDS
10994_at,ILVBL
10998_at,SLC27A5
11000_at,SLC27A3
11001_at,SLC27A2
11004_at,KIF2C
11005_at,SPINK5
11006_at,LILRB4
11007_at,CCDC85B
11009_at,IL24
1101_at,CHAD
11010_at,GLIPR1
11011_at,TLK2
11012_at,KLK11
11013_at,TMSL8
11014_at,KDELR2
11015_at,KDELR3
11016_at,ATF7
11017_at,RY1
11018_at,TMED1
11019_at,LIAS
1102_at,RCBTB2
11020_at,RABL4
11021_at,RAB35
11022_at,TDRKH
11024_at,LILRA1
11025_at,LILRB3
11026_at,LILRA3
11027_at,LILRA2
1103_at,CHAT
11030_at,RBPMS
11031_at,RAB31
11033_at,CENTA1
11034_at,DSTN
11037_at,STON1
1104_at,RCC1
11040_at,PIM2
11041_at,B3GNT1
11043_at,MID2
11044_at,POLS
11045_at,UPK1A
11046_at,SLC35D2
11047_at,ADRM1
1105_at,CHD1
11051_at,NUDT21
11052_at,CPSF6
11054_at,OGFR
11055_at,ZPBP
11056_at,DDX52
11057_at,ABHD2
11059_at,WWP1
1106_at,CHD2
11060_at,WWP2
11061_at,LECT1
11062_at,DUS4L
11063_at,SOX30
11064_at,CEP110
11065_at,UBE2C
11066_at,U1SNRNPBP
11067_at,C10orf10
11068_at,CYB561D2
11069_at,RAPGEF4
1107_at,CHD3
11070_at,TMEM115
11072_at,DUSP14
11073_at,TOPBP1
11074_at,TRIM31
11075_at,STMN2
11076_at,TPPP
11077_at,HSF2BP
11078_at,TRIOBP
11079_at,RER1
1108_at,CHD4
11080_at,DNAJB4
11081_at,KERA
11083_at,DIDO1
11085_at,ADAM30
11086_at,ADAM29
1109_at,AKR1C4
11092_at,C9orf9
11093_at,ADAMTS13
11094_at,C9orf7
11095_at,ADAMTS8
11096_at,ADAMTS5
11097_at,NUPL2
11098_at,PRSS23
11099_at,PTPN21
11100_at,HNRNPUL1
11102_at,RPP14
11103_at,KRR1
11104_at,KATNA1
11107_at,PRDM5
11108_at,PRDM4
1111_at,CHEK1
11113_at,CIT
